Date,Season,Rainfall (mm),Festival,Festival_Impact,Avg Temp (°C),Fuel Price (₹/L),Supply (Tonnes),Govt Policy,Disease Outbreak,Base_Price (₹/kg),Tomato_Price (₹/kg)
2019-01-01,Winter,6.106349814741763,,1.0,27.49003014954058,70.0,85,0,0,50.77499520202028,54.32822596755018
2019-01-02,Winter,11.743613776066226,,1.0,32.866928196681116,70.01643835616439,77,0,0,44.33333783384258,34.0231283329921
2019-01-03,Winter,6.979824387423381,,1.0,38.760689827943885,70.03287671232877,139,0,0,55.38660225550846,35.81366048524313
2019-01-04,Winter,19.884113327276754,,1.0,33.39657467575452,70.04931506849314,106,0,0,46.41979220651558,59.32671943887611
2019-01-05,Winter,11.967388544480148,,1.0,35.081550201232965,70.06575342465753,184,1,0,45.02692961271774,43.1784956269671
2019-01-06,Winter,7.417731101123051,,1.0,23.461898807253867,70.08219178082192,161,0,0,45.54951597568744,31.947795891078936
2019-01-07,Winter,8.635416972878128,,1.0,29.978688505313393,70.0986301369863,69,0,0,47.25052693824526,36.33559007144243
2019-01-08,Winter,17.956193786269537,,1.0,35.44954034275403,70.11506849315069,104,0,0,55.521480111951284,34.35866631292466
2019-01-09,Winter,14.44889737713584,,1.0,25.354699463232908,70.13150684931507,171,0,0,49.201609530578466,58.849219332178805
2019-01-10,Winter,15.718220579466491,,1.0,24.30707472779156,70.14794520547945,55,0,0,37.234014026080224,50.70697010004381
2019-01-11,Winter,9.559814464459187,,1.0,26.92996181833441,70.16438356164383,170,0,1,58.500040843633265,59.51990379402431
2019-01-12,Winter,19.32181623795185,,1.0,33.4852767292187,70.18082191780822,59,0,0,33.94016198029167,49.460954275443044
2019-01-13,Winter,17.050487573398236,,1.0,23.77307958662053,70.1972602739726,90,0,0,59.55437263007541,57.611913696151476
2019-01-14,Winter,10.59028720269832,Pongal,1.5,26.187870438914025,70.21369863013699,127,1,0,53.13434526125714,49.246043312176425
2019-01-15,Winter,4.135974488567625,Pongal,1.5,29.194319873133317,70.23013698630137,173,0,0,56.465341260846486,48.65584460395452
